com_code,tcf_type,continent,area_code,area,item,unit,tcf
c03,tcf_density,ASI,102,Iran (Islamic Republic of),Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,103,Iraq,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,105,Israel,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,108,Kazakhstan,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,110,Japan,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,112,Jordan,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,113,Kyrgyzstan,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,115,Cambodia,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,116,Democratic People's Republic of Korea,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,117,Republic of Korea,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,118,Kuwait,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,120,Lao People's Democratic Republic,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,121,Lebanon,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,128,"China, Macao SAR",Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,131,Malaysia,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,132,Maldives,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,141,Mongolia,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,149,Nepal,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,164,Pacific Islands Trust Territory,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,165,Pakistan,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,171,Philippines,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,176,Timor-Leste,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,179,Qatar,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,194,Saudi Arabia,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,200,Singapore,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,208,Tajikistan,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,212,Syrian Arab Republic,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,213,Turkmenistan,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,214,"China, Taiwan Province of",Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,216,Thailand,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,221,Oman,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,225,United Arab Emirates,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,228,USSR,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,235,Uzbekistan,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,237,Viet Nam,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,249,Yemen,Wood fuel,kg/m3sw,800
c03,tcf_density,ASI,299,Palestine,Wood fuel,kg/m3sw,800
c03,tcf_density,EUR,3,Albania,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,6,Andorra,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,11,Austria,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,15,Belgium-Luxembourg,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,27,Bulgaria,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,50,Cyprus,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,51,Czechoslovakia,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,54,Denmark,Wood fuel,kg/m3sw,448.038
c03,tcf_density,EUR,57,Belarus,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,63,Estonia,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,64,Faroe Islands,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,67,Finland,Wood fuel,kg/m3sw,503.819488888889
c03,tcf_density,EUR,68,France,Wood fuel,kg/m3sw,535.7
c03,tcf_density,EUR,79,Germany,Wood fuel,kg/m3sw,492.0428
