"area_code","area","iso3c","continent","baci","baci_code"
158,"Niger","NER","AFR",TRUE,562
159,"Nigeria","NGA","AFR",TRUE,566
160,"Niue","NIU","OCE",TRUE,570
161,"Norfolk Island","NFK","OCE",TRUE,574
162,"Norway","NOR","EUR",TRUE,579
165,"Pakistan","PAK","ASI",TRUE,586
166,"Panama","PAN","LAM",TRUE,591
167,"Czechia","CZE","EU",TRUE,203
168,"Papua New Guinea","PNG","OCE",TRUE,598
169,"Paraguay","PRY","LAM",TRUE,600
170,"Peru","PER","LAM",TRUE,604
171,"Philippines","PHL","ASI",TRUE,608
173,"Poland","POL","EU",TRUE,616
174,"Portugal","PRT","EU",TRUE,620
175,"Guinea-Bissau","GNB","AFR",TRUE,624
176,"Timor-Leste","TLS","ASI",TRUE,626
178,"Eritrea","ERI","AFR",TRUE,232
179,"Qatar","QAT","ASI",TRUE,634
181,"Zimbabwe","ZWE","AFR",TRUE,716
182,"Reunion","REU","AFR",FALSE,NA
183,"Romania","ROU","EU",TRUE,642
184,"Rwanda","RWA","AFR",TRUE,646
185,"Russian Federation","RUS","ASI",TRUE,643
186,"Serbia and Montenegro","SCG","EUR",TRUE,891
189,"Saint Lucia","LCA","LAM",TRUE,662
190,"Saint Pierre and Miquelon","SPM","NAM",TRUE,666
191,"Saint Vincent and the Grenadines","VCT","LAM",TRUE,670
193,"Sao Tome and Principe","STP","AFR",TRUE,678
194,"Saudi Arabia","SAU","ASI",TRUE,682
195,"Senegal","SEN","AFR",TRUE,686
196,"Seychelles","SYC","AFR",TRUE,690
197,"Sierra Leone","SLE","AFR",TRUE,694
198,"Slovenia","SVN","EU",TRUE,705
199,"Slovakia","SVK","EU",TRUE,703
200,"Singapore","SGP","ASI",TRUE,702
201,"Somalia","SOM","AFR",TRUE,706
202,"South Africa","ZAF","AFR",TRUE,711
203,"Spain","ESP","EU",TRUE,724
207,"Suriname","SUR","LAM",TRUE,740
208,"Tajikistan","TJK","ASI",TRUE,762
209,"Eswatini","SWZ","AFR",FALSE,NA
210,"Sweden","SWE","EU",TRUE,752
211,"Switzerland","CHE","EUR",TRUE,757
212,"Syrian Arab Republic","SYR","ASI",TRUE,760
213,"Turkmenistan","TKM","ASI",TRUE,795
214,"China, Taiwan Province of","TWN","ASI",FALSE,NA
215,"United Republic of Tanzania","TZA","AFR",TRUE,834
216,"Thailand","THA","ASI",TRUE,764
217,"Togo","TGO","AFR",TRUE,768
219,"Tonga","TON","AFR",TRUE,776
220,"Trinidad and Tobago","TTO","LAM",TRUE,780
221,"Oman","OMN","ASI",TRUE,512
222,"Tunisia","TUN","AFR",TRUE,788
223,"Turkey","TUR","EUR",TRUE,792
224,"Turks and Caicos Islands","TCA","LAM",TRUE,796
225,"United Arab Emirates","ARE","ASI",TRUE,784
226,"Uganda","UGA","AFR",TRUE,800
229,"United Kingdom","GBR","EU",TRUE,826
230,"Ukraine","UKR","EUR",TRUE,804
231,"United States of America","USA","NAM",TRUE,842
233,"Burkina Faso","BFA","AFR",TRUE,854
234,"Uruguay","URY","LAM",TRUE,858
235,"Uzbekistan","UZB","ASI",TRUE,860
236,"Venezuela (Bolivarian Republic of)","VEN","LAM",TRUE,862
237,"Viet Nam","VNM","ASI",TRUE,704
238,"Ethiopia","ETH","AFR",TRUE,231
239,"British Virgin Islands","VGB","LAM",TRUE,92
244,"Samoa","WSM","OCE",TRUE,882
249,"Yemen","YEM","ASI",TRUE,887
250,"Democratic Republic of the Congo","COD","AFR",TRUE,180
251,"Zambia","ZMB","AFR",TRUE,894
255,"Belgium","BEL","EU",TRUE,NA
256,"Luxembourg","LUX","EU",TRUE,NA
270,"Mayotte","MYT","AFR",FALSE,NA
272,"Serbia","SRB","EUR",TRUE,688
273,"Montenegro","MNE","EUR",TRUE,499
276,"Sudan","SDN","AFR",TRUE,729
277,"South Sudan","SSD","AFR",TRUE,728
5,"American Samoa","ASM","OCE",FALSE,16
8,"Antigua and Barbuda","ATG","LAM",FALSE,28
17,"Bermuda","BMU","LAM",TRUE,60
24,"British Indian Ocean Territory","IOT","ASI",TRUE,86
36,"Cayman Islands","CYM","LAM",TRUE,136
43,"Cocos (Keeling) Islands","CCK","OCE",TRUE,166
71,"French Southern and Antarctic Territories","ATF","OCE",TRUE,260
85,"Greenland","GRL","EUR",TRUE,304
86,"Grenada","GRD","LAM",TRUE,308
88,"Guam","GUM","OCE",TRUE,316
94,"Holy See","VAT","EUR",FALSE,NA
127,"Marshall Islands","MHL","OCE",TRUE,584
142,"Montserrat","MSR","LAM",TRUE,500
148,"Nauru","NRU","OCE",TRUE,520
163,"Northern Mariana Islands","MNP","OCE",TRUE,580
164,"Pacific Islands Trust Territory","PCI","ASI",FALSE,NA
172,"Pitcairn Islands","PCN","OCE",TRUE,612
180,"Palau","PLW","OCE",TRUE,585
187,"Saint Helena, Ascension and Tristan da Cunha","SHN","AFR",TRUE,654
188,"Saint Kitts and Nevis","KNA","LAM",TRUE,659
192,"San Marino","SMR","EUR",TRUE,674
205,"Western Sahara","ESH","AFR",FALSE,NA
218,"Tokelau","TKL","OCE",TRUE,772
227,"Tuvalu","TUV","OCE",TRUE,798
228,"USSR","SUN","ASI",TRUE,810
242,"Wake Island","WAK","OCE",FALSE,NA
243,"Wallis and Futuna Islands","WLF","OCE",TRUE,876
248,"Yugoslav SFR","YUG","EUR",FALSE,891
258,"Anguilla","AIA","LAM",TRUE,660
279,"Curaçao","CUW","LAM",TRUE,531
281,"Saint-Martin (French Part)","MAF","LAM",FALSE,NA
299,"Palestine","PSE","ASI",TRUE,275
252,"Unspecified Area","XXX","XXX",FALSE,NA
254,"Others (adjustment)","XXX","XXX",FALSE,NA
