continent,area_code,area,com_code,item,wood
ASI,249,Yemen,c08,Fibreboard,83.3
ASI,299,Palestine,c08,Fibreboard,83.3
EUR,3,Albania,c08,Fibreboard,84
EUR,6,Andorra,c08,Fibreboard,84
EUR,11,Austria,c08,Fibreboard,84
EUR,15,Belgium-Luxembourg,c08,Fibreboard,84
EUR,27,Bulgaria,c08,Fibreboard,84
EUR,50,Cyprus,c08,Fibreboard,84
EUR,51,Czechoslovakia,c08,Fibreboard,84
EUR,54,Denmark,c08,Fibreboard,84
EUR,57,Belarus,c08,Fibreboard,84
EUR,63,Estonia,c08,Fibreboard,84
EUR,64,Faroe Islands,c08,Fibreboard,84
EUR,67,Finland,c08,Fibreboard,84
EUR,68,France,c08,Fibreboard,83
EUR,79,Germany,c08,Fibreboard,84
EUR,80,Bosnia and Herzegovina,c08,Fibreboard,84
EUR,82,Gibraltar,c08,Fibreboard,84
EUR,84,Greece,c08,Fibreboard,84
EUR,85,Greenland,c08,Fibreboard,84
EUR,94,Holy See,c08,Fibreboard,84
EUR,97,Hungary,c08,Fibreboard,84
EUR,98,Croatia,c08,Fibreboard,84
EUR,99,Iceland,c08,Fibreboard,84
EUR,104,Ireland,c08,Fibreboard,85
EUR,106,Italy,c08,Fibreboard,84
EUR,119,Latvia,c08,Fibreboard,84
EUR,125,Liechtenstein,c08,Fibreboard,84
EUR,126,Lithuania,c08,Fibreboard,84
EUR,134,Malta,c08,Fibreboard,84
EUR,146,Republic of Moldova,c08,Fibreboard,84
EUR,150,Netherlands,c08,Fibreboard,84
EUR,154,North Macedonia,c08,Fibreboard,84
EUR,162,Norway,c08,Fibreboard,84
EUR,167,Czechia,c08,Fibreboard,84
EUR,173,Poland,c08,Fibreboard,82
EUR,174,Portugal,c08,Fibreboard,85
EUR,183,Romania,c08,Fibreboard,84
EUR,186,Serbia and Montenegro,c08,Fibreboard,84
EUR,192,San Marino,c08,Fibreboard,84
EUR,198,Slovenia,c08,Fibreboard,84
EUR,199,Slovakia,c08,Fibreboard,84
EUR,203,Spain,c08,Fibreboard,84
EUR,210,Sweden,c08,Fibreboard,84
EUR,211,Switzerland,c08,Fibreboard,84
EUR,223,Turkey,c08,Fibreboard,84
EUR,229,United Kingdom,c08,Fibreboard,84
EUR,230,Ukraine,c08,Fibreboard,84
EUR,248,Yugoslav SFR,c08,Fibreboard,84
EUR,255,Belgium,c08,Fibreboard,84
EUR,256,Luxembourg,c08,Fibreboard,84
EUR,272,Serbia,c08,Fibreboard,84
EUR,273,Montenegro,c08,Fibreboard,84
LAM,8,Antigua and Barbuda,c08,Fibreboard,83
LAM,9,Argentina,c08,Fibreboard,83
LAM,12,Bahamas,c08,Fibreboard,83
LAM,14,Barbados,c08,Fibreboard,83
LAM,17,Bermuda,c08,Fibreboard,83
LAM,19,Bolivia (Plurinational State of),c08,Fibreboard,83
LAM,21,Brazil,c08,Fibreboard,83
LAM,22,Aruba,c08,Fibreboard,83
LAM,23,Belize,c08,Fibreboard,83
LAM,36,Cayman Islands,c08,Fibreboard,83
LAM,40,Chile,c08,Fibreboard,83
LAM,44,Colombia,c08,Fibreboard,83
LAM,48,Costa Rica,c08,Fibreboard,83
LAM,49,Cuba,c08,Fibreboard,83
LAM,55,Dominica,c08,Fibreboard,83
LAM,56,Dominican Republic,c08,Fibreboard,83
LAM,58,Ecuador,c08,Fibreboard,83
LAM,60,El Salvador,c08,Fibreboard,83
LAM,65,Falkland Islands (Malvinas),c08,Fibreboard,83
LAM,69,French Guyana,c08,Fibreboard,83
LAM,86,Grenada,c08,Fibreboard,83
LAM,87,Guadeloupe,c08,Fibreboard,83
LAM,89,Guatemala,c08,Fibreboard,83
LAM,91,Guyana,c08,Fibreboard,83
LAM,93,Haiti,c08,Fibreboard,83
LAM,95,Honduras,c08,Fibreboard,83
LAM,109,Jamaica,c08,Fibreboard,83
LAM,135,Martinique,c08,Fibreboard,83
LAM,138,Mexico,c08,Fibreboard,83
LAM,142,Montserrat,c08,Fibreboard,83
LAM,151,Netherlands Antilles,c08,Fibreboard,83
LAM,157,Nicaragua,c08,Fibreboard,83
LAM,166,Panama,c08,Fibreboard,83
LAM,169,Paraguay,c08,Fibreboard,83
LAM,170,Peru,c08,Fibreboard,83
LAM,188,Saint Kitts and Nevis,c08,Fibreboard,83
LAM,189,Saint Lucia,c08,Fibreboard,83
LAM,191,Saint Vincent and the Grenadines,c08,Fibreboard,83
LAM,207,Suriname,c08,Fibreboard,83
LAM,220,Trinidad and Tobago,c08,Fibreboard,83
LAM,224,Turks and Caicos Islands,c08,Fibreboard,83
LAM,234,Uruguay,c08,Fibreboard,83
LAM,236,Venezuela (Bolivarian Republic of),c08,Fibreboard,83
LAM,239,British Virgin Islands,c08,Fibreboard,83
LAM,258,Anguilla,c08,Fibreboard,83
LAM,279,Curaçao,c08,Fibreboard,83
LAM,281,Saint-Martin (French Part),c08,Fibreboard,83
NAM,33,Canada,c08,Fibreboard,83.4333333333333
NAM,190,Saint Pierre and Miquelon,c08,Fibreboard,83.4333333333333
NAM,231,United States of America,c08,Fibreboard,83.4333333333333
OCE,5,American Samoa,c08,Fibreboard,83.4333333333333
OCE,10,Australia,c08,Fibreboard,83.4333333333333
OCE,25,Solomon Islands,c08,Fibreboard,83.4333333333333
OCE,42,Christmas Island,c08,Fibreboard,83.4333333333333
OCE,43,Cocos (Keeling) Islands,c08,Fibreboard,83.4333333333333
OCE,47,Cook Islands,c08,Fibreboard,83.4333333333333
OCE,66,Fiji,c08,Fibreboard,83.4333333333333
OCE,70,French Polynesia,c08,Fibreboard,83.4333333333333
OCE,71,French Southern and Antarctic Territories,c08,Fibreboard,83.4333333333333
OCE,83,Kiribati,c08,Fibreboard,83.4333333333333
OCE,88,Guam,c08,Fibreboard,83.4333333333333
OCE,127,Marshall Islands,c08,Fibreboard,83.4333333333333
OCE,145,Micronesia (Federated States of),c08,Fibreboard,83.4333333333333
OCE,148,Nauru,c08,Fibreboard,83.4333333333333
OCE,153,New Caledonia,c08,Fibreboard,83.4333333333333
OCE,155,Vanuatu,c08,Fibreboard,83.4333333333333
OCE,156,New Zealand,c08,Fibreboard,83.4333333333333
OCE,160,Niue,c08,Fibreboard,83.4333333333333
OCE,161,Norfolk Island,c08,Fibreboard,83.4333333333333
OCE,163,Northern Mariana Islands,c08,Fibreboard,83.4333333333333
OCE,168,Papua New Guinea,c08,Fibreboard,83.4333333333333
OCE,172,Pitcairn Islands,c08,Fibreboard,83.4333333333333
OCE,180,Palau,c08,Fibreboard,83.4333333333333
OCE,218,Tokelau,c08,Fibreboard,83.4333333333333
OCE,227,Tuvalu,c08,Fibreboard,83.4333333333333
OCE,242,Wake Island,c08,Fibreboard,83.4333333333333
OCE,243,Wallis and Futuna Islands,c08,Fibreboard,83.4333333333333
OCE,244,Samoa,c08,Fibreboard,83.4333333333333
ROW,999,RoW,c08,Fibreboard,83.4333333333333
XXX,252,Unspecified Area,c08,Fibreboard,83.4333333333333
XXX,254,Others (adjustment),c08,Fibreboard,83.4333333333333
AFR,4,Algeria,c09,Particle board,82.25
AFR,7,Angola,c09,Particle board,82.25
AFR,20,Botswana,c09,Particle board,82.25
AFR,29,Burundi,c09,Particle board,82.25
AFR,32,Cameroon,c09,Particle board,82.25
AFR,35,Cabo Verde,c09,Particle board,82.25
AFR,37,Central African Republic,c09,Particle board,82.25
AFR,39,Chad,c09,Particle board,82.25
AFR,45,Comoros,c09,Particle board,82.25
AFR,46,Congo,c09,Particle board,82.25
AFR,53,Benin,c09,Particle board,82.25
AFR,59,Egypt,c09,Particle board,82.25
AFR,61,Equatorial Guinea,c09,Particle board,82.25
AFR,72,Djibouti,c09,Particle board,82.25
AFR,74,Gabon,c09,Particle board,82.25
AFR,75,Gambia,c09,Particle board,82.25
AFR,81,Ghana,c09,Particle board,82.25
AFR,90,Guinea,c09,Particle board,82.25
AFR,107,Cote d'Ivoire,c09,Particle board,82.25
AFR,114,Kenya,c09,Particle board,82.25
AFR,122,Lesotho,c09,Particle board,82.25
AFR,123,Liberia,c09,Particle board,82.25
AFR,124,Libya,c09,Particle board,82.25
AFR,129,Madagascar,c09,Particle board,82.25
AFR,130,Malawi,c09,Particle board,82.25
AFR,133,Mali,c09,Particle board,82.25
AFR,136,Mauritania,c09,Particle board,82.25
AFR,137,Mauritius,c09,Particle board,82.25
AFR,143,Morocco,c09,Particle board,82.25
AFR,144,Mozambique,c09,Particle board,82.25
AFR,147,Namibia,c09,Particle board,82.25
AFR,158,Niger,c09,Particle board,82.25
AFR,159,Nigeria,c09,Particle board,82.25
AFR,175,Guinea-Bissau,c09,Particle board,82.25
AFR,178,Eritrea,c09,Particle board,82.25
AFR,181,Zimbabwe,c09,Particle board,82.25
AFR,182,Reunion,c09,Particle board,82.25
AFR,184,Rwanda,c09,Particle board,82.25
AFR,187,"Saint Helena, Ascension and Tristan da Cunha",c09,Particle board,82.25
AFR,193,Sao Tome and Principe,c09,Particle board,82.25
AFR,195,Senegal,c09,Particle board,82.25
AFR,196,Seychelles,c09,Particle board,82.25
AFR,197,Sierra Leone,c09,Particle board,82.25
AFR,201,Somalia,c09,Particle board,82.25
AFR,202,South Africa,c09,Particle board,82.25
AFR,205,Western Sahara,c09,Particle board,82.25
AFR,209,Eswatini,c09,Particle board,82.25
AFR,215,United Republic of Tanzania,c09,Particle board,82.25
AFR,217,Togo,c09,Particle board,82.25
AFR,219,Tonga,c09,Particle board,82.25
AFR,222,Tunisia,c09,Particle board,82.25
AFR,226,Uganda,c09,Particle board,82.25
AFR,233,Burkina Faso,c09,Particle board,82.25
AFR,238,Ethiopia,c09,Particle board,82.25
AFR,250,Democratic Republic of the Congo,c09,Particle board,82.25
AFR,251,Zambia,c09,Particle board,82.25
AFR,270,Mayotte,c09,Particle board,82.25
AFR,276,Sudan,c09,Particle board,82.25
AFR,277,South Sudan,c09,Particle board,82.25
ASI,1,Armenia,c09,Particle board,82
ASI,2,Afghanistan,c09,Particle board,82
ASI,13,Bahrain,c09,Particle board,82
ASI,16,Bangladesh,c09,Particle board,82
ASI,18,Bhutan,c09,Particle board,82
ASI,24,British Indian Ocean Territory,c09,Particle board,82
ASI,26,Brunei Darussalam,c09,Particle board,82
ASI,28,Myanmar,c09,Particle board,82
ASI,38,Sri Lanka,c09,Particle board,82
ASI,41,"China, mainland",c09,Particle board,79
ASI,52,Azerbaijan,c09,Particle board,82
ASI,73,Georgia,c09,Particle board,82
ASI,96,"China, Hong Kong SAR",c09,Particle board,82
ASI,100,India,c09,Particle board,82
ASI,101,Indonesia,c09,Particle board,82
ASI,102,Iran (Islamic Republic of),c09,Particle board,82
ASI,103,Iraq,c09,Particle board,82
ASI,105,Israel,c09,Particle board,82
ASI,108,Kazakhstan,c09,Particle board,82
