area_code;area;com_code;item;c_share;nc_share
146;Republic of Moldova;c03;Wood fuel;0.00;1.00
147;Namibia;c03;Wood fuel;0.00;1.00
149;Nepal;c03;Wood fuel;0.00;1.00
150;Netherlands;c03;Wood fuel;0.18;0.82
151;Netherlands Antilles;c03;Wood fuel;NA;NA
153;New Caledonia;c03;Wood fuel;0.00;1.00
154;North Macedonia;c03;Wood fuel;0.03;0.97
155;Vanuatu;c03;Wood fuel;0.00;1.00
156;New Zealand;c03;Wood fuel;0.00;0.00
157;Nicaragua;c03;Wood fuel;0.11;0.89
158;Niger;c03;Wood fuel;0.00;1.00
159;Nigeria;c03;Wood fuel;0.00;1.00
160;Niue;c03;Wood fuel;0.00;1.00
161;Norfolk Island;c03;Wood fuel;0.00;1.00
162;Norway;c03;Wood fuel;0.35;0.65
165;Pakistan;c03;Wood fuel;0.04;0.96
166;Panama;c03;Wood fuel;0.00;1.00
167;Czechia;c03;Wood fuel;0.85;0.15
168;Papua New Guinea;c03;Wood fuel;0.00;1.00
169;Paraguay;c03;Wood fuel;0.00;1.00
170;Peru;c03;Wood fuel;0.00;1.00
171;Philippines;c03;Wood fuel;0.00;1.00
173;Poland;c03;Wood fuel;0.50;0.50
174;Portugal;c03;Wood fuel;0.30;0.70
175;Guinea-Bissau;c03;Wood fuel;0.00;1.00
176;Timor-Leste;c03;Wood fuel;0.00;1.00
178;Eritrea;c03;Wood fuel;0.00;1.00
179;Qatar;c03;Wood fuel;0.00;1.00
181;Zimbabwe;c03;Wood fuel;0.00;1.00
182;Reunion;c03;Wood fuel;NA;NA
183;Romania;c03;Wood fuel;0.20;0.80
184;Rwanda;c03;Wood fuel;0.00;1.00
185;Russian Federation;c03;Wood fuel;0.71;0.29
186;Serbia and Montenegro;c03;Wood fuel;NA;NA
189;Saint Lucia;c03;Wood fuel;0.00;1.00
190;Saint Pierre and Miquelon;c03;Wood fuel;0.00;1.00
191;Saint Vincent and the Grenadines;c03;Wood fuel;0.00;1.00
193;Sao Tome and Principe;c03;Wood fuel;0.00;1.00
194;Saudi Arabia;c03;Wood fuel;0.00;1.00
195;Senegal;c03;Wood fuel;0.00;1.00
196;Seychelles;c03;Wood fuel;0.00;1.00
197;Sierra Leone;c03;Wood fuel;0.00;1.00
198;Slovenia;c03;Wood fuel;0.18;0.82
199;Slovakia;c03;Wood fuel;0.50;0.50
200;Singapore;c03;Wood fuel;0.00;1.00
201;Somalia;c03;Wood fuel;0.00;1.00
202;South Africa;c03;Wood fuel;0.00;1.00
203;Spain;c03;Wood fuel;0.54;0.46
207;Suriname;c03;Wood fuel;0.00;1.00
208;Tajikistan;c03;Wood fuel;0.50;0.50
209;Eswatini;c03;Wood fuel;0.07;0.93
210;Sweden;c03;Wood fuel;0.50;0.50
211;Switzerland;c03;Wood fuel;0.39;0.61
212;Syrian Arab Republic;c03;Wood fuel;0.82;0.18
213;Turkmenistan;c03;Wood fuel;0.00;1.00
214;China, Taiwan Province of;c03;Wood fuel;0.79;0.21
215;United Republic of Tanzania;c03;Wood fuel;0.00;1.00
216;Thailand;c03;Wood fuel;0.00;1.00
217;Togo;c03;Wood fuel;0.00;1.00
219;Tonga;c03;Wood fuel;0.00;1.00
220;Trinidad and Tobago;c03;Wood fuel;0.00;1.00
221;Oman;c03;Wood fuel;0.00;1.00
222;Tunisia;c03;Wood fuel;0.21;0.79
223;Turkey;c03;Wood fuel;0.42;0.58
224;Turks and Caicos Islands;c03;Wood fuel;0.00;1.00
225;United Arab Emirates;c03;Wood fuel;0.00;1.00
226;Uganda;c03;Wood fuel;0.00;1.00
229;United Kingdom;c03;Wood fuel;NA;NA
230;Ukraine;c03;Wood fuel;0.56;0.44
231;United States of America;c03;Wood fuel;0.45;0.55
233;Burkina Faso;c03;Wood fuel;0.00;1.00
234;Uruguay;c03;Wood fuel;0.01;0.99
235;Uzbekistan;c03;Wood fuel;0.00;1.00
236;Venezuela (Bolivarian Republic of);c03;Wood fuel;0.00;1.00
237;Viet Nam;c03;Wood fuel;0.00;1.00
238;Ethiopia;c03;Wood fuel;0.07;0.93
239;British Virgin Islands;c03;Wood fuel;0.00;1.00
244;Samoa;c03;Wood fuel;0.00;1.00
249;Yemen;c03;Wood fuel;0.00;1.00
250;Democratic Republic of the Congo;c03;Wood fuel;0.00;1.00
251;Zambia;c03;Wood fuel;0.00;1.00
255;Belgium;c03;Wood fuel;0.07;0.93
256;Luxembourg;c03;Wood fuel;0.54;0.46
270;Mayotte;c03;Wood fuel;0.00;1.00
272;Serbia;c03;Wood fuel;0.02;0.98
273;Montenegro;c03;Wood fuel;0.07;0.93
276;Sudan;c03;Wood fuel;0.00;1.00
277;South Sudan;c03;Wood fuel;0.00;1.00
5;American Samoa;c03;Wood fuel;NA;NA
8;Antigua and Barbuda;c03;Wood fuel;NA;NA
17;Bermuda;c03;Wood fuel;NA;NA
24;British Indian Ocean Territory;c03;Wood fuel;NA;NA
36;Cayman Islands;c03;Wood fuel;NA;NA
43;Cocos (Keeling) Islands;c03;Wood fuel;NA;NA
71;French Southern and Antarctic Territories;c03;Wood fuel;NA;NA
85;Greenland;c03;Wood fuel;NA;NA
86;Grenada;c03;Wood fuel;NA;NA
88;Guam;c03;Wood fuel;NA;NA
94;Holy See;c03;Wood fuel;NA;NA
127;Marshall Islands;c03;Wood fuel;NA;NA
142;Montserrat;c03;Wood fuel;NA;NA
148;Nauru;c03;Wood fuel;NA;NA
