area_code;area;com_code;item;c14_1_share;c14_2_share;c14_3_share
123;Liberia;c14;Paper and paperboard;NA;NA;NA
124;Libya;c14;Paper and paperboard;NA;NA;NA
125;Liechtenstein;c14;Paper and paperboard;0.00;0.00;0.00
126;Lithuania;c14;Paper and paperboard;3.20;0.00;96.80
128;China, Macao SAR;c14;Paper and paperboard;NA;NA;NA
129;Madagascar;c14;Paper and paperboard;0.71;0.00;99.29
130;Malawi;c14;Paper and paperboard;NA;NA;NA
131;Malaysia;c14;Paper and paperboard;17.14;8.57;74.29
132;Maldives;c14;Paper and paperboard;NA;NA;NA
133;Mali;c14;Paper and paperboard;NA;NA;NA
134;Malta;c14;Paper and paperboard;0.00;0.00;0.00
135;Martinique;c14;Paper and paperboard;NA;NA;NA
136;Mauritania;c14;Paper and paperboard;NA;NA;NA
137;Mauritius;c14;Paper and paperboard;0.00;0.00;0.00
138;Mexico;c14;Paper and paperboard;1.16;9.89;88.95
141;Mongolia;c14;Paper and paperboard;NA;NA;NA
143;Morocco;c14;Paper and paperboard;0.00;21.79;78.21
144;Mozambique;c14;Paper and paperboard;NA;NA;NA
145;Micronesia (Federated States of);c14;Paper and paperboard;NA;NA;NA
146;Republic of Moldova;c14;Paper and paperboard;0.00;0.00;100.00
147;Namibia;c14;Paper and paperboard;NA;NA;NA
149;Nepal;c14;Paper and paperboard;NA;NA;NA
150;Netherlands;c14;Paper and paperboard;0.00;22.18;77.82
151;Netherlands Antilles;c14;Paper and paperboard;NA;NA;NA
153;New Caledonia;c14;Paper and paperboard;NA;NA;NA
154;North Macedonia;c14;Paper and paperboard;0.00;0.00;100.00
155;Vanuatu;c14;Paper and paperboard;NA;NA;NA
156;New Zealand;c14;Paper and paperboard;20.33;0.00;79.67
157;Nicaragua;c14;Paper and paperboard;NA;NA;NA
158;Niger;c14;Paper and paperboard;NA;NA;NA
159;Nigeria;c14;Paper and paperboard;0.00;5.26;94.74
160;Niue;c14;Paper and paperboard;NA;NA;NA
161;Norfolk Island;c14;Paper and paperboard;NA;NA;NA
162;Norway;c14;Paper and paperboard;43.03;42.77;14.20
165;Pakistan;c14;Paper and paperboard;0.00;27.52;72.48
166;Panama;c14;Paper and paperboard;0.00;0.00;0.00
167;Czechia;c14;Paper and paperboard;0.00;12.01;87.99
168;Papua New Guinea;c14;Paper and paperboard;NA;NA;NA
169;Paraguay;c14;Paper and paperboard;0.00;0.00;100.00
170;Peru;c14;Paper and paperboard;0.00;8.47;91.53
171;Philippines;c14;Paper and paperboard;6.03;10.55;83.42
173;Poland;c14;Paper and paperboard;1.10;15.75;83.15
174;Portugal;c14;Paper and paperboard;0.00;74.63;25.37
175;Guinea-Bissau;c14;Paper and paperboard;NA;NA;NA
176;Timor-Leste;c14;Paper and paperboard;NA;NA;NA
178;Eritrea;c14;Paper and paperboard;NA;NA;NA
179;Qatar;c14;Paper and paperboard;NA;NA;NA
181;Zimbabwe;c14;Paper and paperboard;0.00;0.00;0.00
182;Reunion;c14;Paper and paperboard;NA;NA;NA
183;Romania;c14;Paper and paperboard;0.00;11.90;88.10
184;Rwanda;c14;Paper and paperboard;NA;NA;NA
185;Russian Federation;c14;Paper and paperboard;16.88;10.67;72.46
186;Serbia and Montenegro;c14;Paper and paperboard;NA;NA;NA
189;Saint Lucia;c14;Paper and paperboard;NA;NA;NA
190;Saint Pierre and Miquelon;c14;Paper and paperboard;NA;NA;NA
191;Saint Vincent and the Grenadines;c14;Paper and paperboard;NA;NA;NA
193;Sao Tome and Principe;c14;Paper and paperboard;NA;NA;NA
194;Saudi Arabia;c14;Paper and paperboard;NA;NA;NA
195;Senegal;c14;Paper and paperboard;NA;NA;NA
196;Seychelles;c14;Paper and paperboard;0.00;0.00;0.00
197;Sierra Leone;c14;Paper and paperboard;NA;NA;NA
198;Slovenia;c14;Paper and paperboard;17.80;18.99;63.20
199;Slovakia;c14;Paper and paperboard;0.00;66.16;33.84
200;Singapore;c14;Paper and paperboard;NA;NA;NA
201;Somalia;c14;Paper and paperboard;NA;NA;NA
202;South Africa;c14;Paper and paperboard;6.33;20.04;73.63
203;Spain;c14;Paper and paperboard;2.70;14.03;83.27
207;Suriname;c14;Paper and paperboard;NA;NA;NA
208;Tajikistan;c14;Paper and paperboard;0.00;0.00;0.00
209;Eswatini;c14;Paper and paperboard;NA;NA;NA
210;Sweden;c14;Paper and paperboard;9.63;24.75;65.61
211;Switzerland;c14;Paper and paperboard;34.86;24.68;40.46
212;Syrian Arab Republic;c14;Paper and paperboard;NA;NA;NA
213;Turkmenistan;c14;Paper and paperboard;0.00;0.00;0.00
214;China, Taiwan Province of;c14;Paper and paperboard;0.70;12.64;86.67
215;United Republic of Tanzania;c14;Paper and paperboard;0.00;0.00;100.00
216;Thailand;c14;Paper and paperboard;2.44;23.08;74.48
217;Togo;c14;Paper and paperboard;NA;NA;NA
219;Tonga;c14;Paper and paperboard;NA;NA;NA
220;Trinidad and Tobago;c14;Paper and paperboard;NA;NA;NA
221;Oman;c14;Paper and paperboard;NA;NA;NA
222;Tunisia;c14;Paper and paperboard;0.00;9.46;90.54
223;Turkey;c14;Paper and paperboard;0.00;11.82;88.18
224;Turks and Caicos Islands;c14;Paper and paperboard;NA;NA;NA
225;United Arab Emirates;c14;Paper and paperboard;NA;NA;NA
226;Uganda;c14;Paper and paperboard;NA;NA;NA
229;United Kingdom;c14;Paper and paperboard;NA;NA;NA
230;Ukraine;c14;Paper and paperboard;0.09;0.61;99.31
231;United States of America;c14;Paper and paperboard;1.35;16.94;81.70
233;Burkina Faso;c14;Paper and paperboard;NA;NA;NA
234;Uruguay;c14;Paper and paperboard;0.00;0.00;100.00
235;Uzbekistan;c14;Paper and paperboard;2.51;5.75;91.73
236;Venezuela (Bolivarian Republic of);c14;Paper and paperboard;0.00;11.74;88.26
237;Viet Nam;c14;Paper and paperboard;3.73;24.57;71.70
238;Ethiopia;c14;Paper and paperboard;16.58;48.98;34.44
239;British Virgin Islands;c14;Paper and paperboard;NA;NA;NA
244;Samoa;c14;Paper and paperboard;NA;NA;NA
249;Yemen;c14;Paper and paperboard;0.00;0.00;0.00
250;Democratic Republic of the Congo;c14;Paper and paperboard;NA;NA;NA
251;Zambia;c14;Paper and paperboard;0.00;0.00;100.00
255;Belgium;c14;Paper and paperboard;15.42;54.14;30.44
256;Luxembourg;c14;Paper and paperboard;0.00;0.00;0.00
270;Mayotte;c14;Paper and paperboard;NA;NA;NA
272;Serbia;c14;Paper and paperboard;26.93;0.00;73.07
273;Montenegro;c14;Paper and paperboard;0.00;0.00;0.00
276;Sudan;c14;Paper and paperboard;NA;NA;NA
277;South Sudan;c14;Paper and paperboard;NA;NA;NA
5;American Samoa;c14;Paper and paperboard;NA;NA;NA
8;Antigua and Barbuda;c14;Paper and paperboard;NA;NA;NA
17;Bermuda;c14;Paper and paperboard;NA;NA;NA
24;British Indian Ocean Territory;c14;Paper and paperboard;NA;NA;NA
36;Cayman Islands;c14;Paper and paperboard;NA;NA;NA
43;Cocos (Keeling) Islands;c14;Paper and paperboard;NA;NA;NA
71;French Southern and Antarctic Territories;c14;Paper and paperboard;NA;NA;NA
85;Greenland;c14;Paper and paperboard;NA;NA;NA
86;Grenada;c14;Paper and paperboard;NA;NA;NA
88;Guam;c14;Paper and paperboard;NA;NA;NA
94;Holy See;c14;Paper and paperboard;NA;NA;NA
127;Marshall Islands;c14;Paper and paperboard;NA;NA;NA
142;Montserrat;c14;Paper and paperboard;NA;NA;NA
148;Nauru;c14;Paper and paperboard;NA;NA;NA
163;Northern Mariana Islands;c14;Paper and paperboard;NA;NA;NA
164;Pacific Islands Trust Territory;c14;Paper and paperboard;NA;NA;NA
172;Pitcairn Islands;c14;Paper and paperboard;NA;NA;NA
180;Palau;c14;Paper and paperboard;NA;NA;NA
187;Saint Helena, Ascension and Tristan da Cunha;c14;Paper and paperboard;NA;NA;NA
188;Saint Kitts and Nevis;c14;Paper and paperboard;NA;NA;NA
192;San Marino;c14;Paper and paperboard;NA;NA;NA
205;Western Sahara;c14;Paper and paperboard;NA;NA;NA
218;Tokelau;c14;Paper and paperboard;NA;NA;NA
227;Tuvalu;c14;Paper and paperboard;NA;NA;NA
228;USSR;c14;Paper and paperboard;NA;NA;NA
242;Wake Island;c14;Paper and paperboard;NA;NA;NA
243;Wallis and Futuna Islands;c14;Paper and paperboard;NA;NA;NA
248;Yugoslav SFR;c14;Paper and paperboard;NA;NA;NA
258;Anguilla;c14;Paper and paperboard;NA;NA;NA
279;Curaçao;c14;Paper and paperboard;NA;NA;NA
281;Saint-Martin (French Part);c14;Paper and paperboard;NA;NA;NA
299;Palestine;c14;Paper and paperboard;NA;NA;NA
252;Unspecified Area;c14;Paper and paperboard;NA;NA;NA
254;Others (adjustment);c14;Paper and paperboard;NA;NA;NA
999;RoW;c14;Paper and paperboard;NA;NA;NA
;ASI;c14;Paper and paperboard;NA;NA;NA
;EUR;c14;Paper and paperboard;NA;NA;NA
;AFR;c14;Paper and paperboard;NA;NA;NA
;LAM;c14;Paper and paperboard;NA;NA;NA
;OCE;c14;Paper and paperboard;NA;NA;NA
;NAM;c14;Paper and paperboard;NA;NA;NA
