area_code,area,com_code,item,recycled_fibre,literature
82,Kiribati,c09,Particle board,,Own calculations
84,Guadeloupe,c09,Particle board,,Own calculations
85,Greenland,c09,Particle board,,Own calculations
94,Holy See,c09,Particle board,,Own calculations
97,Croatia,c09,Particle board,,Own calculations
98,Iceland,c09,Particle board,,Own calculations
99,India,c09,Particle board,,Own calculations
104,Israel,c09,Particle board,,Own calculations
106,Cote d'Ivoire,c09,Particle board,,Own calculations
119,Lao People's Democratic Republic,c09,Particle board,,Own calculations
125,Lithuania,c09,Particle board,,Own calculations
126,"China, Macao SAR",c09,Particle board,,Own calculations
134,Martinique,c09,Particle board,,Own calculations
146,Namibia,c09,Particle board,,Own calculations
150,Netherlands Antilles,c09,Particle board,,Own calculations
154,Vanuatu,c09,Particle board,,Own calculations
162,Pakistan,c09,Particle board,,Own calculations
167,Papua New Guinea,c09,Particle board,,Own calculations
173,Portugal,c09,Particle board,30,"FAO, ITTO and United Nations (2020)"
174,Guinea-Bissau,c09,Particle board,,Own calculations
183,Rwanda,c09,Particle board,,Own calculations
185,Serbia and Montenegro,c09,Particle board,,Own calculations
186,Saint Lucia,c09,Particle board,,Own calculations
192,San Marino,c09,Particle board,,Own calculations
198,Slovakia,c09,Particle board,,Own calculations
199,Singapore,c09,Particle board,,Own calculations
203,Tajikistan,c09,Particle board,,Own calculations
210,Syrian Arab Republic,c09,Particle board,,Own calculations
211,Turkmenistan,c09,Particle board,,Own calculations
223,United Arab Emirates,c09,Particle board,,Own calculations
229,United States of America,c09,Particle board,,Own calculations
230,Burkina Faso,c09,Particle board,,Own calculations
248,Yugoslav SFR,c09,Particle board,,Own calculations
255,Mayotte,c09,Particle board,,Own calculations
256,Serbia,c09,Particle board,,Own calculations
272,Sudan,c09,Particle board,,Own calculations
273,South Sudan,c09,Particle board,,Own calculations
8,Antigua and Barbuda,c09,Particle board,,Own calculations
9,Argentina,c09,Particle board,,Own calculations
12,Bahamas,c09,Particle board,,Own calculations
14,Barbados,c09,Particle board,,Own calculations
17,Bermuda,c09,Particle board,,Own calculations
19,Bolivia (Plurinational State of),c09,Particle board,,Own calculations
21,Brazil,c09,Particle board,,Own calculations
22,Aruba,c09,Particle board,,Own calculations
23,Belize,c09,Particle board,,Own calculations
36,Cayman Islands,c09,Particle board,,Own calculations
40,Chile,c09,Particle board,,Own calculations
44,Colombia,c09,Particle board,,Own calculations
48,Costa Rica,c09,Particle board,,Own calculations
49,Cuba,c09,Particle board,,Own calculations
55,Dominica,c09,Particle board,,Own calculations
56,Dominican Republic,c09,Particle board,,Own calculations
58,Ecuador,c09,Particle board,,Own calculations
60,El Salvador,c09,Particle board,,Own calculations
65,Fiji,c09,Particle board,,Own calculations
69,French Polynesia,c09,Particle board,,Own calculations
86,Grenada,c09,Particle board,,Own calculations
87,Guatemala,c09,Particle board,,Own calculations
89,Guinea,c09,Particle board,,Own calculations
91,Haiti,c09,Particle board,,Own calculations
93,Honduras,c09,Particle board,,Own calculations
95,"China, Hong Kong SAR",c09,Particle board,,Own calculations
109,Japan,c09,Particle board,,Own calculations
135,Mauritania,c09,Particle board,,Own calculations
138,Mongolia,c09,Particle board,,Own calculations
142,Montserrat,c09,Particle board,,Own calculations
151,New Caledonia,c09,Particle board,,Own calculations
157,Niger,c09,Particle board,,Own calculations
166,Czechia,c09,Particle board,,Own calculations
169,Peru,c09,Particle board,,Own calculations
170,Philippines,c09,Particle board,,Own calculations
188,Saint Kitts and Nevis,c09,Particle board,,Own calculations
189,Saint Pierre and Miquelon,c09,Particle board,,Own calculations
191,Sao Tome and Principe,c09,Particle board,,Own calculations
207,Eswatini,c09,Particle board,,Own calculations
220,Tunisia,c09,Particle board,,Own calculations
224,Uganda,c09,Particle board,,Own calculations
234,Venezuela (Bolivarian Republic of),c09,Particle board,,Own calculations
236,Ethiopia,c09,Particle board,,Own calculations
239,Yemen,c09,Particle board,,Own calculations
258,Anguilla,c09,Particle board,,Own calculations
279,Curaçao,c09,Particle board,,Own calculations
281,Saint-Martin (French Part),c09,Particle board,,Own calculations
33,Canada,c09,Particle board,,Own calculations
190,Saint Vincent and the Grenadines,c09,Particle board,,Own calculations
231,Uruguay,c09,Particle board,,Own calculations
5,American Samoa,c09,Particle board,,Own calculations
10,Australia,c09,Particle board,,Own calculations
25,Solomon Islands,c09,Particle board,,Own calculations
42,Christmas Island,c09,Particle board,,Own calculations
43,Cocos (Keeling) Islands,c09,Particle board,,Own calculations
47,Cook Islands,c09,Particle board,,Own calculations
66,Finland,c09,Particle board,,Own calculations
70,Djibouti,c09,Particle board,,Own calculations
71,French Southern and Antarctic Territories,c09,Particle board,,Own calculations
83,Greece,c09,Particle board,,Own calculations
88,Guam,c09,Particle board,,Own calculations
127,Marshall Islands,c09,Particle board,,Own calculations
145,Republic of Moldova,c09,Particle board,,Own calculations
148,Nauru,c09,Particle board,,Own calculations
153,North Macedonia,c09,Particle board,,Own calculations
155,New Zealand,c09,Particle board,,Own calculations
156,Nicaragua,c09,Particle board,,Own calculations
160,Norfolk Island,c09,Particle board,,Own calculations
161,Norway,c09,Particle board,,Own calculations
163,Northern Mariana Islands,c09,Particle board,,Own calculations
168,Paraguay,c09,Particle board,,Own calculations
172,Pitcairn Islands,c09,Particle board,,Own calculations
180,Palau,c09,Particle board,,Own calculations
218,Tokelau,c09,Particle board,,Own calculations
227,Tuvalu,c09,Particle board,,Own calculations
242,Wake Island,c09,Particle board,,Own calculations
243,Wallis and Futuna Islands,c09,Particle board,,Own calculations
244,Democratic Republic of the Congo,c09,Particle board,,Own calculations
999,RoW,c09,Particle board,,Own calculations
252,Unspecified Area,c09,Particle board,,Own calculations
254,Others (adjustment),c09,Particle board,,Own calculations
