area_code,area,com_code,item,wood,literature
51,Czechoslovakia,c08,Fibreboard,85.6666666666667,NA
54,Denmark,c08,Fibreboard,85.6666666666667,NA
57,Belarus,c08,Fibreboard,85.6666666666667,NA
63,Estonia,c08,Fibreboard,85.6666666666667,NA
64,Faroe Islands,c08,Fibreboard,85.6666666666667,NA
67,Finland,c08,Fibreboard,85.6666666666667,NA
68,France,c08,Fibreboard,87.3333333333333,NA
79,Germany,c08,Fibreboard,85.6666666666667,NA
80,Bosnia and Herzegovina,c08,Fibreboard,85.6666666666667,NA
82,Gibraltar,c08,Fibreboard,85.6666666666667,NA
84,Greece,c08,Fibreboard,85.6666666666667,NA
85,Greenland,c08,Fibreboard,85.6666666666667,NA
94,Holy See,c08,Fibreboard,85.6666666666667,NA
97,Hungary,c08,Fibreboard,85.6666666666667,NA
98,Croatia,c08,Fibreboard,85.6666666666667,NA
99,Iceland,c08,Fibreboard,85.6666666666667,NA
104,Ireland,c08,Fibreboard,85,NA
106,Italy,c08,Fibreboard,85.6666666666667,NA
119,Latvia,c08,Fibreboard,85.6666666666667,NA
125,Liechtenstein,c08,Fibreboard,85.6666666666667,NA
126,Lithuania,c08,Fibreboard,85.6666666666667,NA
134,Malta,c08,Fibreboard,85.6666666666667,NA
146,Republic of Moldova,c08,Fibreboard,85.6666666666667,NA
150,Netherlands,c08,Fibreboard,85.6666666666667,NA
154,North Macedonia,c08,Fibreboard,85.6666666666667,NA
162,Norway,c08,Fibreboard,85.6666666666667,NA
167,Czechia,c08,Fibreboard,85.6666666666667,NA
173,Poland,c08,Fibreboard,85.3333333333333,NA
174,Portugal,c08,Fibreboard,85,NA
183,Romania,c08,Fibreboard,85.6666666666667,NA
185,Russian Federation,c08,Fibreboard,85.6666666666667,NA
186,Serbia and Montenegro,c08,Fibreboard,85.6666666666667,NA
192,San Marino,c08,Fibreboard,85.6666666666667,NA
198,Slovenia,c08,Fibreboard,85.6666666666667,NA
199,Slovakia,c08,Fibreboard,85.6666666666667,NA
203,Spain,c08,Fibreboard,85.6666666666667,NA
210,Sweden,c08,Fibreboard,85.6666666666667,NA
211,Switzerland,c08,Fibreboard,85.6666666666667,NA
223,Turkey,c08,Fibreboard,85.6666666666667,NA
229,United Kingdom,c08,Fibreboard,85.6666666666667,NA
230,Ukraine,c08,Fibreboard,85.6666666666667,NA
248,Yugoslav SFR,c08,Fibreboard,85.6666666666667,NA
255,Belgium,c08,Fibreboard,85.6666666666667,NA
256,Luxembourg,c08,Fibreboard,85.6666666666667,NA
272,Serbia,c08,Fibreboard,85.6666666666667,NA
273,Montenegro,c08,Fibreboard,85.6666666666667,NA
8,Antigua and Barbuda,c08,Fibreboard,83,NA
9,Argentina,c08,Fibreboard,83,NA
12,Bahamas,c08,Fibreboard,83,NA
14,Barbados,c08,Fibreboard,83,NA
17,Bermuda,c08,Fibreboard,83,NA
19,Bolivia (Plurinational State of),c08,Fibreboard,83,NA
21,Brazil,c08,Fibreboard,83,NA
22,Aruba,c08,Fibreboard,83,NA
23,Belize,c08,Fibreboard,83,NA
36,Cayman Islands,c08,Fibreboard,83,NA
40,Chile,c08,Fibreboard,83,NA
44,Colombia,c08,Fibreboard,83,NA
48,Costa Rica,c08,Fibreboard,83,NA
49,Cuba,c08,Fibreboard,83,NA
55,Dominica,c08,Fibreboard,83,NA
56,Dominican Republic,c08,Fibreboard,83,NA
58,Ecuador,c08,Fibreboard,83,NA
60,El Salvador,c08,Fibreboard,83,NA
65,Falkland Islands (Malvinas),c08,Fibreboard,83,NA
69,French Guyana,c08,Fibreboard,83,NA
86,Grenada,c08,Fibreboard,83,NA
87,Guadeloupe,c08,Fibreboard,83,NA
89,Guatemala,c08,Fibreboard,83,NA
91,Guyana,c08,Fibreboard,83,NA
93,Haiti,c08,Fibreboard,83,NA
95,Honduras,c08,Fibreboard,83,NA
109,Jamaica,c08,Fibreboard,83,NA
135,Martinique,c08,Fibreboard,83,NA
138,Mexico,c08,Fibreboard,83,NA
142,Montserrat,c08,Fibreboard,83,NA
151,Netherlands Antilles,c08,Fibreboard,83,NA
157,Nicaragua,c08,Fibreboard,83,NA
166,Panama,c08,Fibreboard,83,NA
169,Paraguay,c08,Fibreboard,83,NA
170,Peru,c08,Fibreboard,83,NA
188,Saint Kitts and Nevis,c08,Fibreboard,83,NA
189,Saint Lucia,c08,Fibreboard,83,NA
191,Saint Vincent and the Grenadines,c08,Fibreboard,83,NA
207,Suriname,c08,Fibreboard,83,NA
220,Trinidad and Tobago,c08,Fibreboard,83,NA
224,Turks and Caicos Islands,c08,Fibreboard,83,NA
234,Uruguay,c08,Fibreboard,83,NA
236,Venezuela (Bolivarian Republic of),c08,Fibreboard,83,NA
239,British Virgin Islands,c08,Fibreboard,83,NA
