com_code;item;item_code;unit;TCF;TCF_unit;Heating_value
c03;Wood fuel;1864;m3;10;GJ/m3sw;higher
c03;Wood fuel;1864;m3;14.31;GJ/kg;lower
c03;Wood fuel;1864;m3;7.2;GJ/m3sw;lower
c15;Wood pellets and other agglomerates;1696;tonnes;18;GJ/kg;lower
c15;Wood pellets and other agglomerates;1696;tonnes;NA;NA;higher
c16;Wood charcoal;1630;tonnes;31;GJ/kg;lower
c17;Wood chips and particles;1619;m3;9.69;GJ/kg;lower
c18;Wood residues;1620;m3;9.69;GJ/kg;lower
c20;Black liquor;9999;tonnes;8.47;GJ/kg;lower
