area_code;area;com_code;item;%recycled
211;Switzerland;c09;Particle board;    
212;Syrian Arab Republic;c09;Particle board;    
213;Turkmenistan;c09;Particle board;    
214;China, Taiwan Province of;c09;Particle board;    
215;United Republic of Tanzania;c09;Particle board;    
216;Thailand;c09;Particle board;    
217;Togo;c09;Particle board;    
219;Tonga;c09;Particle board;    
220;Trinidad and Tobago;c09;Particle board;    
221;Oman;c09;Particle board;    
222;Tunisia;c09;Particle board;    
223;Turkey;c09;Particle board;    
224;Turks and Caicos Islands;c09;Particle board;    
225;United Arab Emirates;c09;Particle board;    
226;Uganda;c09;Particle board;    
229;United Kingdom;c09;Particle board;    
230;Ukraine;c09;Particle board;    
231;United States of America;c09;Particle board;    
233;Burkina Faso;c09;Particle board;    
234;Uruguay;c09;Particle board;    
235;Uzbekistan;c09;Particle board;    
236;Venezuela (Bolivarian Republic of);c09;Particle board;    
237;Viet Nam;c09;Particle board;    
238;Ethiopia;c09;Particle board;    
239;British Virgin Islands;c09;Particle board;    
244;Samoa;c09;Particle board;    
249;Yemen;c09;Particle board;    
250;Democratic Republic of the Congo;c09;Particle board;    
251;Zambia;c09;Particle board;    
255;Belgium;c09;Particle board;    
256;Luxembourg;c09;Particle board;    
270;Mayotte;c09;Particle board;    
272;Serbia;c09;Particle board;    
273;Montenegro;c09;Particle board;    
276;Sudan;c09;Particle board;    
277;South Sudan;c09;Particle board;    
5;American Samoa;c09;Particle board;    
8;Antigua and Barbuda;c09;Particle board;    
17;Bermuda;c09;Particle board;    
24;British Indian Ocean Territory;c09;Particle board;    
36;Cayman Islands;c09;Particle board;    
43;Cocos (Keeling) Islands;c09;Particle board;    
71;French Southern and Antarctic Territories;c09;Particle board;    
85;Greenland;c09;Particle board;    
86;Grenada;c09;Particle board;    
88;Guam;c09;Particle board;    
94;Holy See;c09;Particle board;    
127;Marshall Islands;c09;Particle board;    
142;Montserrat;c09;Particle board;    
148;Nauru;c09;Particle board;    
163;Northern Mariana Islands;c09;Particle board;    
164;Pacific Islands Trust Territory;c09;Particle board;    
172;Pitcairn Islands;c09;Particle board;    
180;Palau;c09;Particle board;    
187;Saint Helena, Ascension and Tristan da Cunha;c09;Particle board;    
188;Saint Kitts and Nevis;c09;Particle board;    
192;San Marino;c09;Particle board;    
205;Western Sahara;c09;Particle board;    
218;Tokelau;c09;Particle board;    
227;Tuvalu;c09;Particle board;    
228;USSR;c09;Particle board;    
242;Wake Island;c09;Particle board;    
243;Wallis and Futuna Islands;c09;Particle board;    
248;Yugoslav SFR;c09;Particle board;    
258;Anguilla;c09;Particle board;    
279;Curaçao;c09;Particle board;    
281;Saint-Martin (French Part);c09;Particle board;    
299;Palestine;c09;Particle board;    
252;Unspecified Area;c09;Particle board;    
254;Others (adjustment);c09;Particle board;    
999;RoW;c09;Particle board;
;ASI;c09;Particle board;    
;EUR;c09;Particle board;38
;AFR;c09;Particle board;    
;LAM;c09;Particle board;    
;OCE;c09;Particle board;    
;NAM;c09;Particle board;    
