area_code;area;com_code;item;c01_1_share;c01_2_share
118;Kuwait;c01;Industrial roundwood, coniferous;NA;NA
119;Latvia;c01;Industrial roundwood, coniferous;76.39;23.61
120;Lao People's Democratic Republic;c01;Industrial roundwood, coniferous;0.00;0.00
121;Lebanon;c01;Industrial roundwood, coniferous;100.00;0.00
122;Lesotho;c01;Industrial roundwood, coniferous;100.00;0.00
123;Liberia;c01;Industrial roundwood, coniferous;NA;NA
124;Libya;c01;Industrial roundwood, coniferous;NA;NA
125;Liechtenstein;c01;Industrial roundwood, coniferous;100.00;0.00
126;Lithuania;c01;Industrial roundwood, coniferous;76.81;23.19
128;China, Macao SAR;c01;Industrial roundwood, coniferous;NA;NA
129;Madagascar;c01;Industrial roundwood, coniferous;89.38;10.62
130;Malawi;c01;Industrial roundwood, coniferous;100.00;0.00
131;Malaysia;c01;Industrial roundwood, coniferous;100.00;0.00
132;Maldives;c01;Industrial roundwood, coniferous;NA;NA
133;Mali;c01;Industrial roundwood, coniferous;NA;NA
134;Malta;c01;Industrial roundwood, coniferous;0.00;0.00
135;Martinique;c01;Industrial roundwood, coniferous;NA;NA
136;Mauritania;c01;Industrial roundwood, coniferous;NA;NA
137;Mauritius;c01;Industrial roundwood, coniferous;100.00;0.00
138;Mexico;c01;Industrial roundwood, coniferous;92.96;7.04
141;Mongolia;c01;Industrial roundwood, coniferous;100.00;0.00
143;Morocco;c01;Industrial roundwood, coniferous;100.00;0.00
144;Mozambique;c01;Industrial roundwood, coniferous;100.00;0.00
145;Micronesia (Federated States of);c01;Industrial roundwood, coniferous;NA;NA
146;Republic of Moldova;c01;Industrial roundwood, coniferous;0.00;0.00
147;Namibia;c01;Industrial roundwood, coniferous;NA;NA
149;Nepal;c01;Industrial roundwood, coniferous;0.00;0.00
150;Netherlands;c01;Industrial roundwood, coniferous;40.19;59.81
151;Netherlands Antilles;c01;Industrial roundwood, coniferous;NA;NA
153;New Caledonia;c01;Industrial roundwood, coniferous;100.00;0.00
154;North Macedonia;c01;Industrial roundwood, coniferous;100.00;0.00
155;Vanuatu;c01;Industrial roundwood, coniferous;0.00;0.00
156;New Zealand;c01;Industrial roundwood, coniferous;89.47;10.53
157;Nicaragua;c01;Industrial roundwood, coniferous;100.00;0.00
158;Niger;c01;Industrial roundwood, coniferous;NA;NA
159;Nigeria;c01;Industrial roundwood, coniferous;NA;NA
160;Niue;c01;Industrial roundwood, coniferous;NA;NA
161;Norfolk Island;c01;Industrial roundwood, coniferous;NA;NA
162;Norway;c01;Industrial roundwood, coniferous;58.04;41.96
165;Pakistan;c01;Industrial roundwood, coniferous;100.00;0.00
166;Panama;c01;Industrial roundwood, coniferous;100.00;0.00
167;Czechia;c01;Industrial roundwood, coniferous;68.16;31.84
168;Papua New Guinea;c01;Industrial roundwood, coniferous;100.00;0.00
169;Paraguay;c01;Industrial roundwood, coniferous;NA;NA
170;Peru;c01;Industrial roundwood, coniferous;0.00;0.00
171;Philippines;c01;Industrial roundwood, coniferous;0.00;0.00
173;Poland;c01;Industrial roundwood, coniferous;46.28;53.72
174;Portugal;c01;Industrial roundwood, coniferous;51.04;48.96
175;Guinea-Bissau;c01;Industrial roundwood, coniferous;NA;NA
176;Timor-Leste;c01;Industrial roundwood, coniferous;NA;NA
178;Eritrea;c01;Industrial roundwood, coniferous;NA;NA
179;Qatar;c01;Industrial roundwood, coniferous;NA;NA
181;Zimbabwe;c01;Industrial roundwood, coniferous;95.58;4.42
182;Reunion;c01;Industrial roundwood, coniferous;NA;NA
183;Romania;c01;Industrial roundwood, coniferous;89.73;10.27
184;Rwanda;c01;Industrial roundwood, coniferous;100.00;0.00
185;Russian Federation;c01;Industrial roundwood, coniferous;78.35;21.65
186;Serbia and Montenegro;c01;Industrial roundwood, coniferous;NA;NA
189;Saint Lucia;c01;Industrial roundwood, coniferous;NA;NA
190;Saint Pierre and Miquelon;c01;Industrial roundwood, coniferous;NA;NA
191;Saint Vincent and the Grenadines;c01;Industrial roundwood, coniferous;NA;NA
193;Sao Tome and Principe;c01;Industrial roundwood, coniferous;NA;NA
194;Saudi Arabia;c01;Industrial roundwood, coniferous;NA;NA
195;Senegal;c01;Industrial roundwood, coniferous;NA;NA
196;Seychelles;c01;Industrial roundwood, coniferous;0.00;0.00
197;Sierra Leone;c01;Industrial roundwood, coniferous;NA;NA
198;Slovenia;c01;Industrial roundwood, coniferous;79.48;20.52
199;Slovakia;c01;Industrial roundwood, coniferous;70.06;29.94
200;Singapore;c01;Industrial roundwood, coniferous;NA;NA
201;Somalia;c01;Industrial roundwood, coniferous;NA;NA
202;South Africa;c01;Industrial roundwood, coniferous;69.60;30.40
203;Spain;c01;Industrial roundwood, coniferous;56.49;43.51
207;Suriname;c01;Industrial roundwood, coniferous;100.00;0.00
208;Tajikistan;c01;Industrial roundwood, coniferous;0.00;0.00
209;Eswatini;c01;Industrial roundwood, coniferous;30.09;69.91
210;Sweden;c01;Industrial roundwood, coniferous;59.66;40.34
211;Switzerland;c01;Industrial roundwood, coniferous;87.72;12.28
212;Syrian Arab Republic;c01;Industrial roundwood, coniferous;100.00;0.00
213;Turkmenistan;c01;Industrial roundwood, coniferous;0.00;0.00
214;China, Taiwan Province of;c01;Industrial roundwood, coniferous;1.58;98.42
215;United Republic of Tanzania;c01;Industrial roundwood, coniferous;79.66;20.34
216;Thailand;c01;Industrial roundwood, coniferous;NA;NA
217;Togo;c01;Industrial roundwood, coniferous;NA;NA
219;Tonga;c01;Industrial roundwood, coniferous;100.00;0.00
220;Trinidad and Tobago;c01;Industrial roundwood, coniferous;100.00;0.00
221;Oman;c01;Industrial roundwood, coniferous;NA;NA
222;Tunisia;c01;Industrial roundwood, coniferous;53.55;46.45
223;Turkey;c01;Industrial roundwood, coniferous;52.08;47.92
224;Turks and Caicos Islands;c01;Industrial roundwood, coniferous;NA;NA
225;United Arab Emirates;c01;Industrial roundwood, coniferous;NA;NA
226;Uganda;c01;Industrial roundwood, coniferous;100.00;0.00
