area_code;area;com_code;item;c02_1_share;c02_2_share
112;Jordan;c02;Industrial roundwood, non-coniferous;NA;NA
113;Kyrgyzstan;c02;Industrial roundwood, non-coniferous;100.0;0.0
114;Kenya;c02;Industrial roundwood, non-coniferous;65.0;35.0
115;Cambodia;c02;Industrial roundwood, non-coniferous;100.0;0.0
116;Democratic People's Republic of Korea;c02;Industrial roundwood, non-coniferous;100.0;0.0
117;Republic of Korea;c02;Industrial roundwood, non-coniferous;10.6;89.4
118;Kuwait;c02;Industrial roundwood, non-coniferous;NA;NA
119;Latvia;c02;Industrial roundwood, non-coniferous;63.3;36.7
120;Lao People's Democratic Republic;c02;Industrial roundwood, non-coniferous;100.0;0.0
121;Lebanon;c02;Industrial roundwood, non-coniferous;0.0;0.0
122;Lesotho;c02;Industrial roundwood, non-coniferous;NA;NA
123;Liberia;c02;Industrial roundwood, non-coniferous;100.0;0.0
124;Libya;c02;Industrial roundwood, non-coniferous;100.0;0.0
125;Liechtenstein;c02;Industrial roundwood, non-coniferous;100.0;0.0
126;Lithuania;c02;Industrial roundwood, non-coniferous;63.3;36.7
128;China, Macao SAR;c02;Industrial roundwood, non-coniferous;NA;NA
129;Madagascar;c02;Industrial roundwood, non-coniferous;100.0;0.0
130;Malawi;c02;Industrial roundwood, non-coniferous;100.0;0.0
131;Malaysia;c02;Industrial roundwood, non-coniferous;87.5;12.5
132;Maldives;c02;Industrial roundwood, non-coniferous;NA;NA
133;Mali;c02;Industrial roundwood, non-coniferous;100.0;0.0
134;Malta;c02;Industrial roundwood, non-coniferous;0.0;0.0
135;Martinique;c02;Industrial roundwood, non-coniferous;0.0;0.0
136;Mauritania;c02;Industrial roundwood, non-coniferous;100.0;0.0
137;Mauritius;c02;Industrial roundwood, non-coniferous;100.0;0.0
138;Mexico;c02;Industrial roundwood, non-coniferous;72.3;27.7
141;Mongolia;c02;Industrial roundwood, non-coniferous;100.0;0.0
143;Morocco;c02;Industrial roundwood, non-coniferous;0.0;100.0
144;Mozambique;c02;Industrial roundwood, non-coniferous;100.0;0.0
145;Micronesia (Federated States of);c02;Industrial roundwood, non-coniferous;NA;NA
146;Republic of Moldova;c02;Industrial roundwood, non-coniferous;100.0;0.0
147;Namibia;c02;Industrial roundwood, non-coniferous;NA;NA
149;Nepal;c02;Industrial roundwood, non-coniferous;100.0;0.0
150;Netherlands;c02;Industrial roundwood, non-coniferous;35.6;64.4
151;Netherlands Antilles;c02;Industrial roundwood, non-coniferous;NA;NA
153;New Caledonia;c02;Industrial roundwood, non-coniferous;100.0;0.0
154;North Macedonia;c02;Industrial roundwood, non-coniferous;100.0;0.0
155;Vanuatu;c02;Industrial roundwood, non-coniferous;100.0;0.0
156;New Zealand;c02;Industrial roundwood, non-coniferous;100.0;0.0
157;Nicaragua;c02;Industrial roundwood, non-coniferous;100.0;0.0
158;Niger;c02;Industrial roundwood, non-coniferous;NA;NA
159;Nigeria;c02;Industrial roundwood, non-coniferous;99.7;0.3
160;Niue;c02;Industrial roundwood, non-coniferous;NA;NA
161;Norfolk Island;c02;Industrial roundwood, non-coniferous;NA;NA
162;Norway;c02;Industrial roundwood, non-coniferous;1.0;99.0
165;Pakistan;c02;Industrial roundwood, non-coniferous;96.5;3.5
166;Panama;c02;Industrial roundwood, non-coniferous;100.0;0.0
167;Czechia;c02;Industrial roundwood, non-coniferous;52.6;47.4
168;Papua New Guinea;c02;Industrial roundwood, non-coniferous;99.0;1.0
169;Paraguay;c02;Industrial roundwood, non-coniferous;100.0;0.0
170;Peru;c02;Industrial roundwood, non-coniferous;100.0;0.0
171;Philippines;c02;Industrial roundwood, non-coniferous;76.5;23.5
173;Poland;c02;Industrial roundwood, non-coniferous;35.0;65.0
174;Portugal;c02;Industrial roundwood, non-coniferous;2.5;97.5
175;Guinea-Bissau;c02;Industrial roundwood, non-coniferous;100.0;0.0
176;Timor-Leste;c02;Industrial roundwood, non-coniferous;NA;NA
178;Eritrea;c02;Industrial roundwood, non-coniferous;100.0;0.0
179;Qatar;c02;Industrial roundwood, non-coniferous;NA;NA
181;Zimbabwe;c02;Industrial roundwood, non-coniferous;85.7;14.3
182;Reunion;c02;Industrial roundwood, non-coniferous;NA;NA
183;Romania;c02;Industrial roundwood, non-coniferous;87.4;12.6
184;Rwanda;c02;Industrial roundwood, non-coniferous;100.0;0.0
185;Russian Federation;c02;Industrial roundwood, non-coniferous;48.7;51.3
186;Serbia and Montenegro;c02;Industrial roundwood, non-coniferous;NA;NA
189;Saint Lucia;c02;Industrial roundwood, non-coniferous;NA;NA
190;Saint Pierre and Miquelon;c02;Industrial roundwood, non-coniferous;NA;NA
191;Saint Vincent and the Grenadines;c02;Industrial roundwood, non-coniferous;NA;NA
193;Sao Tome and Principe;c02;Industrial roundwood, non-coniferous;100.0;0.0
194;Saudi Arabia;c02;Industrial roundwood, non-coniferous;NA;NA
195;Senegal;c02;Industrial roundwood, non-coniferous;100.0;0.0
196;Seychelles;c02;Industrial roundwood, non-coniferous;100.0;0.0
197;Sierra Leone;c02;Industrial roundwood, non-coniferous;100.0;0.0
198;Slovenia;c02;Industrial roundwood, non-coniferous;44.8;55.2
199;Slovakia;c02;Industrial roundwood, non-coniferous;42.7;57.3
200;Singapore;c02;Industrial roundwood, non-coniferous;NA;NA
201;Somalia;c02;Industrial roundwood, non-coniferous;100.0;0.0
202;South Africa;c02;Industrial roundwood, non-coniferous;0.6;99.4
203;Spain;c02;Industrial roundwood, non-coniferous;14.2;85.8
207;Suriname;c02;Industrial roundwood, non-coniferous;100.0;0.0
208;Tajikistan;c02;Industrial roundwood, non-coniferous;0.0;0.0
209;Eswatini;c02;Industrial roundwood, non-coniferous;0.0;0.0
210;Sweden;c02;Industrial roundwood, non-coniferous;3.1;96.9
211;Switzerland;c02;Industrial roundwood, non-coniferous;55.1;44.9
212;Syrian Arab Republic;c02;Industrial roundwood, non-coniferous;100.0;0.0
213;Turkmenistan;c02;Industrial roundwood, non-coniferous;0.0;0.0
214;China, Taiwan Province of;c02;Industrial roundwood, non-coniferous;100.0;0.0
215;United Republic of Tanzania;c02;Industrial roundwood, non-coniferous;75.1;24.9
216;Thailand;c02;Industrial roundwood, non-coniferous;68.1;31.9
217;Togo;c02;Industrial roundwood, non-coniferous;100.0;0.0
219;Tonga;c02;Industrial roundwood, non-coniferous;100.0;0.0
220;Trinidad and Tobago;c02;Industrial roundwood, non-coniferous;100.0;0.0
221;Oman;c02;Industrial roundwood, non-coniferous;NA;NA
222;Tunisia;c02;Industrial roundwood, non-coniferous;9.7;90.3
223;Turkey;c02;Industrial roundwood, non-coniferous;38.3;61.7
224;Turks and Caicos Islands;c02;Industrial roundwood, non-coniferous;NA;NA
225;United Arab Emirates;c02;Industrial roundwood, non-coniferous;NA;NA
226;Uganda;c02;Industrial roundwood, non-coniferous;100.0;0.0
229;United Kingdom;c02;Industrial roundwood, non-coniferous;NA;NA
230;Ukraine;c02;Industrial roundwood, non-coniferous;89.8;10.2
231;United States of America;c02;Industrial roundwood, non-coniferous;47.2;52.8
233;Burkina Faso;c02;Industrial roundwood, non-coniferous;100.0;0.0
234;Uruguay;c02;Industrial roundwood, non-coniferous;8.4;91.6
235;Uzbekistan;c02;Industrial roundwood, non-coniferous;0.0;0.0
236;Venezuela (Bolivarian Republic of);c02;Industrial roundwood, non-coniferous;30.7;69.3
237;Viet Nam;c02;Industrial roundwood, non-coniferous;42.6;57.4
